record_id,raw_payload
1,"{""order_id"": ""O1000"", ""customer"": {""name"": """", ""email"": ""user0@mail.com""}, ""product"": ""Mouse"", ""price"": 287.68, ""quantity"": 1, ""city"": ""Hyderabad"", ""status"": ""Fail"", ""order_time"": ""2024-01-06 00:00:00""}"
2,"{""order_id"": ""O1001"", ""customer"": {""name"": """", ""email"": ""invalid_email""}, ""product"": ""Mouse"", ""price"": 1015.66, ""quantity"": 1, ""city"": ""Pune"", ""status"": ""Completed"", ""order_time"": ""2024-02-14 00:00:00""}"
3,"{""order_id"": ""O1002"", ""customer"": {""name"": ""Arjun"", ""email"": ""user2@mail.com""}, ""product"": ""Laptop"", ""price"": 1520.03, ""quantity"": 2, ""city"": ""Hyderabad"", ""status"": ""PENDING"", ""order_time"": ""2024-01-10 00:00:00""}"
4,"{""order_id"": ""O1003"", ""customer"": {""name"": ""Ravi"", ""email"": ""invalid_email""}, ""product"": ""Laptop"", ""price"": 724.37, ""quantity"": 3, ""city"": ""Pune"", ""status"": ""pending"", ""order_time"": ""2024-02-16 00:00:00""}"
5,"{""order_id"": ""O1004"", ""customer"": {""name"": ""Rahul"", ""email"": ""invalid_email""}, ""product"": ""Keyboard"", ""price"": 1660.52, ""quantity"": 3, ""city"": ""Pune"", ""status"": ""Completed"", ""order_time"": ""2024-01-03 00:00:00""}"
6,"{""order_id"": ""O1005"", ""customer"": {""name"": ""Ravi"", ""email"": ""user5@mail.com""}, ""product"": ""Laptop"", ""price"": 766.45, ""quantity"": null, ""city"": ""Hyderabad"", ""status"": ""pending"", ""order_time"": ""2024-01-23 00:00:00""}"
7,"{""order_id"": ""O1006"", ""customer"": {""name"": ""Ravi"", ""email"": ""user6@mail.com""}, ""product"": ""Mouse"", ""price"": 1072.94, ""quantity"": 2, ""city"": ""Mumbai"", ""status"": ""PENDING"", ""order_time"": ""2024-02-29 00:00:00""}"
8,"{""order_id"": ""O1007"", ""customer"": {""name"": ""Anita"", ""email"": ""user7@mail.com""}, ""product"": ""Laptop"", ""price"": 465.81, ""quantity"": 1, ""city"": ""Bangalore"", ""status"": ""PENDING"", ""order_time"": ""2024-01-14 00:00:00""}"
9,"{""order_id"": ""O1008"", ""customer"": {""name"": ""Anita"", ""email"": ""user8@mail.com""}, ""product"": ""Monitor"", ""price"": 797.31, ""quantity"": null, ""city"": ""Mumbai"", ""status"": ""pending"", ""order_time"": ""2024-02-17 00:00:00""}"
10,"{""order_id"": ""O1009"", ""customer"": {""name"": ""Arjun"", ""email"": ""user9@mail.com""}, ""product"": ""Phone"", ""price"": 804.81, ""quantity"": 2, ""city"": ""Mumbai"", ""status"": ""failed"", ""order_time"": ""2024-02-18 00:00:00""}"
11,"{""order_id"": null, ""customer"": {""name"": ""Neha"", ""email"": ""user10@mail.com""}, ""product"": ""Monitor"", ""price"": 1196.85, ""quantity"": null, ""city"": ""Chennai"", ""status"": ""failed"", ""order_time"": ""2024-02-03 00:00:00""}"
12,"{""order_id"": ""O1011"", ""customer"": {""name"": ""Amit"", ""email"": ""user11@mail.com""}, ""product"": ""Laptop"", ""price"": 1366.6, ""quantity"": 3, ""city"": ""Hyderabad"", ""status"": ""pending"", ""order_time"": ""2024-01-28 00:00:00""}"
13,"{""order_id"": ""O1012"", ""customer"": {""name"": """", ""email"": ""user12@mail.com""}, ""product"": ""Tablet"", ""price"": 534.14, ""quantity"": 2, ""city"": ""Pune"", ""status"": ""completed"", ""order_time"": ""2024-01-20 00:00:00""}"
14,"{""order_id"": ""O1013"", ""customer"": {""name"": ""Karan"", ""email"": ""user13@mail.com""}, ""product"": ""Mouse"", ""price"": 1083.36, ""quantity"": 1, ""city"": ""Pune"", ""status"": ""pending"", ""order_time"": ""2024-01-08 00:00:00""}"
15,"{""order_id"": ""O1014"", ""customer"": {""name"": ""Pooja"", ""email"": ""user14@mail.com""}, ""product"": ""Mouse"", ""price"": 1757.24, ""quantity"": 1, ""city"": ""Delhi"", ""status"": ""Fail"", ""order_time"": ""2024-01-05 00:00:00""}"
16,"{""order_id"": ""O1015"", ""customer"": {""name"": ""Neha"", ""email"": ""user15@mail.com""}, ""product"": ""Monitor"", ""price"": 1894.23, ""quantity"": 2, ""city"": ""Bangalore"", ""status"": ""failed"", ""order_time"": ""2024-01-28 00:00:00""}"
17,"{""order_id"": ""O1016"", ""customer"": {""name"": ""Karan"", ""email"": ""user16@mail.com""}, ""product"": ""Monitor"", ""price"": 1990.35, ""quantity"": 3, ""city"": ""Chennai"", ""status"": ""failed"", ""order_time"": ""2024-01-16 00:00:00""}"
18,"{""order_id"": ""O1017"", ""customer"": {""name"": ""Arjun"", ""email"": ""user17@mail.com""}, ""product"": ""Phone"", ""price"": 448.23, ""quantity"": 1, ""city"": ""Hyderabad"", ""status"": ""Fail"", ""order_time"": ""01-32-2024""}"
19,"{""order_id"": ""O1018"", ""customer"": {""name"": """", ""email"": ""user18@mail.com""}, ""product"": ""Phone"", ""price"": 483.63, ""quantity"": null, ""city"": ""Mumbai"", ""status"": ""failed"", ""order_time"": ""2024-02-29 00:00:00""}"
20,"{""order_id"": ""O1019"", ""customer"": {""name"": ""Karan"", ""email"": ""user19@mail.com""}, ""product"": ""Monitor"", ""price"": 388.92, ""quantity"": 1, ""city"": ""Hyderabad"", ""status"": ""PENDING"", ""order_time"": ""2024-01-27 00:00:00""}"
21,"{""order_id"": ""O1020"", ""customer"": {""name"": ""Ravi"", ""email"": ""invalid_email""}, ""product"": ""Tablet"", ""price"": 685.21, ""quantity"": 1, ""city"": ""Mumbai"", ""status"": ""Completed"", ""order_time"": ""2024-01-29 00:00:00""}"
22,"{""order_id"": ""O1021"", ""customer"": {""name"": ""Sneha"", ""email"": ""user21@mail.com""}, ""product"": ""Laptop"", ""price"": 891.83, ""quantity"": 1, ""city"": ""Delhi"", ""status"": ""Fail"", ""order_time"": ""2024-02-23 00:00:00""}"
23,"{""order_id"": null, ""customer"": {""name"": ""Karan"", ""email"": ""user22@mail.com""}, ""product"": ""Monitor"", ""price"": 967.9, ""quantity"": null, ""city"": ""Delhi"", ""status"": ""Completed"", ""order_time"": ""2024-01-25 00:00:00""}"
24,"{""order_id"": ""O1023"", ""customer"": {""name"": ""Sneha"", ""email"": ""user23@mail.com""}, ""product"": ""Tablet"", ""price"": 1915.06, ""quantity"": null, ""city"": ""Mumbai"", ""status"": ""Completed"", ""order_time"": ""2024-01-04 00:00:00""}"
25,"{""order_id"": ""O1024"", ""customer"": {""name"": ""Anita"", ""email"": ""invalid_email""}, ""product"": ""Phone"", ""price"": 958.81, ""quantity"": 2, ""city"": ""Delhi"", ""status"": ""failed"", ""order_time"": ""01-32-2024""}"
26,"{""order_id"": ""O1025"", ""customer"": {""name"": ""Karan"", ""email"": ""user25@mail.com""}, ""product"": ""Phone"", ""price"": 499.97, ""quantity"": 1, ""city"": ""Pune"", ""status"": ""completed"", ""order_time"": ""2024-02-07 00:00:00""}"
27,"{""order_id"": ""O1026"", ""customer"": {""name"": ""Pooja"", ""email"": ""user26@mail.com""}, ""product"": ""Tablet"", ""price"": 635.23, ""quantity"": 3, ""city"": ""Chennai"", ""status"": ""Completed"", ""order_time"": ""2024-01-20 00:00:00""}"
28,"{""order_id"": ""O1027"", ""customer"": {""name"": ""Ravi"", ""email"": ""invalid_email""}, ""product"": ""Phone"", ""price"": 1996.92, ""quantity"": 1, ""city"": ""Delhi"", ""status"": ""failed"", ""order_time"": ""2024-01-17 00:00:00""}"
29,"{""order_id"": ""O1028"", ""customer"": {""name"": ""Ravi"", ""email"": ""user28@mail.com""}, ""product"": ""Keyboard"", ""price"": 577.12, ""quantity"": null, ""city"": ""Pune"", ""status"": ""Fail"", ""order_time"": ""2024-02-21 00:00:00""}"
30,"{""order_id"": ""O1029"", ""customer"": {""name"": """", ""email"": ""user29@mail.com""}, ""product"": ""Keyboard"", ""price"": 1864.19, ""quantity"": 1, ""city"": ""Mumbai"", ""status"": ""pending"", ""order_time"": ""2024-01-07 00:00:00""}"
31,"{""order_id"": ""O1030"", ""customer"": {""name"": ""Pooja"", ""email"": ""user30@mail.com""}, ""product"": ""Tablet"", ""price"": 692.33, ""quantity"": 3, ""city"": ""Pune"", ""status"": ""PENDING"", ""order_time"": ""2024-02-28 00:00:00""}"
32,"{""order_id"": ""O1031"", ""customer"": {""name"": ""Rahul"", ""email"": ""user31@mail.com""}, ""product"": ""Laptop"", ""price"": 17.06, ""quantity"": 2, ""city"": ""Hyderabad"", ""status"": ""pending"", ""order_time"": ""2024-01-29 00:00:00""}"
33,"{""order_id"": ""O1032"", ""customer"": {""name"": ""Amit"", ""email"": ""user32@mail.com""}, ""product"": ""Tablet"", ""price"": 1808.82, ""quantity"": 1, ""city"": ""Bangalore"", ""status"": ""failed"", ""order_time"": ""2024-01-28 00:00:00""}"
34,"{""order_id"": ""O1033"", ""customer"": {""name"": ""Amit"", ""email"": ""user33@mail.com""}, ""product"": ""Mouse"", ""price"": 1367.31, ""quantity"": 1, ""city"": ""Bangalore"", ""status"": ""failed"", ""order_time"": ""2024-01-27 00:00:00""}"
35,"{""order_id"": ""O1034"", ""customer"": {""name"": ""Karan"", ""email"": ""user34@mail.com""}, ""product"": ""Mouse"", ""price"": 1764.02, ""quantity"": 1, ""city"": ""Mumbai"", ""status"": ""Fail"", ""order_time"": ""2024-02-20 00:00:00""}"
36,"{""order_id"": ""O1035"", ""customer"": {""name"": ""Karan"", ""email"": ""user35@mail.com""}, ""product"": ""Tablet"", ""price"": 225.11, ""quantity"": 1, ""city"": ""Chennai"", ""status"": ""Completed"", ""order_time"": ""2024-02-28 00:00:00""}"
37,"{""order_id"": ""O1036"", ""customer"": {""name"": ""Karan"", ""email"": ""user36@mail.com""}, ""product"": ""Tablet"", ""price"": 394.33, ""quantity"": 3, ""city"": ""Bangalore"", ""status"": ""completed"", ""order_time"": ""2024-01-18 00:00:00""}"
38,"{""order_id"": ""O1037"", ""customer"": {""name"": ""Vikas"", ""email"": ""user37@mail.com""}, ""product"": ""Laptop"", ""price"": 239.53, ""quantity"": 3, ""city"": ""Mumbai"", ""status"": ""failed"", ""order_time"": ""2024-01-17 00:00:00""}"
39,"{""order_id"": null, ""customer"": {""name"": ""Anita"", ""email"": ""user38@mail.com""}, ""product"": ""Keyboard"", ""price"": 878.42, ""quantity"": 1, ""city"": ""Chennai"", ""status"": ""failed"", ""order_time"": ""2024-01-03 00:00:00""}"
40,"{""order_id"": ""O1039"", ""customer"": {""name"": """", ""email"": ""user39@mail.com""}, ""product"": ""Phone"", ""price"": 1376.85, ""quantity"": 2, ""city"": ""Bangalore"", ""status"": ""PENDING"", ""order_time"": ""01-32-2024""}"
41,"{""order_id"": ""O1040"", ""customer"": {""name"": ""Anita"", ""email"": ""user40@mail.com""}, ""product"": ""Laptop"", ""price"": 1442.31, ""quantity"": 3, ""city"": ""Pune"", ""status"": ""pending"", ""order_time"": ""2024-01-21 00:00:00""}"
42,"{""order_id"": ""O1041"", ""customer"": {""name"": ""Neha"", ""email"": ""user41@mail.com""}, ""product"": ""Tablet"", ""price"": 1881.32, ""quantity"": 2, ""city"": ""Pune"", ""status"": ""failed"", ""order_time"": ""2024-02-05 00:00:00""}"
43,"{""order_id"": ""O1042"", ""customer"": {""name"": ""Karan"", ""email"": ""user42@mail.com""}, ""product"": ""Phone"", ""price"": 1217.26, ""quantity"": 3, ""city"": ""Chennai"", ""status"": ""PENDING"", ""order_time"": ""2024-01-14 00:00:00""}"
44,"{""order_id"": ""O1043"", ""customer"": {""name"": ""Neha"", ""email"": ""user43@mail.com""}, ""product"": ""Keyboard"", ""price"": 1035.75, ""quantity"": 3, ""city"": ""Delhi"", ""status"": ""Completed"", ""order_time"": ""2024-01-15 00:00:00""}"
45,"{""order_id"": ""O1044"", ""customer"": {""name"": ""Amit"", ""email"": ""user44@mail.com""}, ""product"": ""Monitor"", ""price"": 1226.44, ""quantity"": 1, ""city"": ""Chennai"", ""status"": ""PENDING"", ""order_time"": ""2024-02-06 00:00:00""}"
46,"{""order_id"": ""O1045"", ""customer"": {""name"": ""Sneha"", ""email"": ""user45@mail.com""}, ""product"": ""Mouse"", ""price"": 1315.56, ""quantity"": 1, ""city"": ""Delhi"", ""status"": ""PENDING"", ""order_time"": ""2024-02-21 00:00:00""}"
47,"{""order_id"": ""O1046"", ""customer"": {""name"": ""Amit"", ""email"": ""user46@mail.com""}, ""product"": ""Laptop"", ""price"": 918.36, ""quantity"": null, ""city"": ""Hyderabad"", ""status"": ""failed"", ""order_time"": ""2024-02-08 00:00:00""}"
48,"{""order_id"": ""O1047"", ""customer"": {""name"": ""Sneha"", ""email"": ""user47@mail.com""}, ""product"": ""Tablet"", ""price"": 1785.12, ""quantity"": null, ""city"": ""Pune"", ""status"": ""PENDING"", ""order_time"": ""2024-02-17 00:00:00""}"
49,"{""order_id"": ""O1048"", ""customer"": {""name"": ""Karan"", ""email"": ""user48@mail.com""}, ""product"": ""Keyboard"", ""price"": 1533.97, ""quantity"": null, ""city"": ""Hyderabad"", ""status"": ""Completed"", ""order_time"": ""2024-01-05 00:00:00""}"
50,"{""order_id"": ""O1049"", ""customer"": {""name"": ""Anita"", ""email"": ""user49@mail.com""}, ""product"": ""Phone"", ""price"": 170.35, ""quantity"": 2, ""city"": ""Mumbai"", ""status"": ""PENDING"", ""order_time"": ""2024-02-15 00:00:00""}"
51,"{""order_id"": ""O1050"", ""customer"": {""name"": ""Anita"", ""email"": ""user50@mail.com""}, ""product"": ""Monitor"", ""price"": 133.91, ""quantity"": null, ""city"": ""Chennai"", ""status"": ""failed"", ""order_time"": ""2024-01-02 00:00:00""}"
52,"{""order_id"": ""O1051"", ""customer"": {""name"": ""Rahul"", ""email"": ""user51@mail.com""}, ""product"": ""Keyboard"", ""price"": 604.24, ""quantity"": null, ""city"": ""Chennai"", ""status"": ""failed"", ""order_time"": ""2024-02-04 00:00:00""}"
53,"{""order_id"": ""O1052"", ""customer"": {""name"": ""Sneha"", ""email"": ""user52@mail.com""}, ""product"": ""Monitor"", ""price"": 976.43, ""quantity"": null, ""city"": ""Bangalore"", ""status"": ""Fail"", ""order_time"": ""2024-01-26 00:00:00""}"
54,"{""order_id"": ""O1053"", ""customer"": {""name"": ""Neha"", ""email"": ""user53@mail.com""}, ""product"": ""Phone"", ""price"": 63.66, ""quantity"": null, ""city"": ""Pune"", ""status"": ""failed"", ""order_time"": ""2024-01-06 00:00:00""}"
55,"{""order_id"": ""O1054"", ""customer"": {""name"": ""Sneha"", ""email"": ""user54@mail.com""}, ""product"": ""Keyboard"", ""price"": 764.42, ""quantity"": 2, ""city"": ""Chennai"", ""status"": ""pending"", ""order_time"": ""2024-02-26 00:00:00""}"
56,"{""order_id"": ""O1055"", ""customer"": {""name"": ""Rahul"", ""email"": ""user55@mail.com""}, ""product"": ""Laptop"", ""price"": 945.91, ""quantity"": 1, ""city"": ""Bangalore"", ""status"": ""Completed"", ""order_time"": ""2024-02-19 00:00:00""}"
57,"{""order_id"": ""O1056"", ""customer"": {""name"": """", ""email"": ""invalid_email""}, ""product"": ""Mouse"", ""price"": 406.73, ""quantity"": 1, ""city"": ""Pune"", ""status"": ""Completed"", ""order_time"": ""2024-01-31 00:00:00""}"
58,"{""order_id"": ""O1057"", ""customer"": {""name"": ""Karan"", ""email"": ""user57@mail.com""}, ""product"": ""Keyboard"", ""price"": 1536.13, ""quantity"": 2, ""city"": ""Pune"", ""status"": ""failed"", ""order_time"": ""2024-02-15 00:00:00""}"
59,"{""order_id"": ""O1058"", ""customer"": {""name"": ""Pooja"", ""email"": ""user58@mail.com""}, ""product"": ""Laptop"", ""price"": 1858.49, ""quantity"": null, ""city"": ""Chennai"", ""status"": ""Fail"", ""order_time"": ""2024-02-07 00:00:00""}"
60,"{""order_id"": ""O1059"", ""customer"": {""name"": ""Ravi"", ""email"": ""user59@mail.com""}, ""product"": ""Keyboard"", ""price"": 1702.08, ""quantity"": 1, ""city"": ""Pune"", ""status"": ""completed"", ""order_time"": ""2024-01-28 00:00:00""}"
61,"{""order_id"": ""O1060"", ""customer"": {""name"": ""Anita"", ""email"": ""invalid_email""}, ""product"": ""Monitor"", ""price"": 1646.44, ""quantity"": 1, ""city"": ""Chennai"", ""status"": ""pending"", ""order_time"": ""2024-02-23 00:00:00""}"
62,"{""order_id"": ""O1061"", ""customer"": {""name"": ""Neha"", ""email"": ""user61@mail.com""}, ""product"": ""Tablet"", ""price"": 547.46, ""quantity"": null, ""city"": ""Chennai"", ""status"": ""PENDING"", ""order_time"": ""2024-02-07 00:00:00""}"
63,"{""order_id"": ""O1062"", ""customer"": {""name"": ""Ravi"", ""email"": ""user62@mail.com""}, ""product"": ""Monitor"", ""price"": 495.29, ""quantity"": null, ""city"": ""Pune"", ""status"": ""failed"", ""order_time"": ""2024-01-22 00:00:00""}"
64,"{""order_id"": null, ""customer"": {""name"": ""Neha"", ""email"": ""user63@mail.com""}, ""product"": ""Keyboard"", ""price"": 1597.69, ""quantity"": 3, ""city"": ""Bangalore"", ""status"": ""failed"", ""order_time"": ""2024-01-18 00:00:00""}"
65,"{""order_id"": ""O1064"", ""customer"": {""name"": ""Karan"", ""email"": ""invalid_email""}, ""product"": ""Tablet"", ""price"": 818.79, ""quantity"": 2, ""city"": ""Hyderabad"", ""status"": ""PENDING"", ""order_time"": ""2024-02-01 00:00:00""}"
66,"{""order_id"": ""O1065"", ""customer"": {""name"": """", ""email"": ""user65@mail.com""}, ""product"": ""Monitor"", ""price"": 1386.66, ""quantity"": 3, ""city"": ""Hyderabad"", ""status"": ""failed"", ""order_time"": ""2024-02-05 00:00:00""}"
67,"{""order_id"": ""O1066"", ""customer"": {""name"": ""Vikas"", ""email"": ""user66@mail.com""}, ""product"": ""Tablet"", ""price"": 912.95, ""quantity"": 3, ""city"": ""Bangalore"", ""status"": ""Completed"", ""order_time"": ""2024-01-13 00:00:00""}"
68,"{""order_id"": ""O1067"", ""customer"": {""name"": ""Neha"", ""email"": ""user67@mail.com""}, ""product"": ""Tablet"", ""price"": 973.56, ""quantity"": 3, ""city"": ""Delhi"", ""status"": ""Completed"", ""order_time"": ""2024-01-24 00:00:00""}"
69,"{""order_id"": ""O1068"", ""customer"": {""name"": """", ""email"": ""user68@mail.com""}, ""product"": ""Keyboard"", ""price"": 100.58, ""quantity"": 1, ""city"": ""Pune"", ""status"": ""pending"", ""order_time"": ""2024-01-09 00:00:00""}"
70,"{""order_id"": ""O1069"", ""customer"": {""name"": ""Ravi"", ""email"": ""user69@mail.com""}, ""product"": ""Phone"", ""price"": 575.84, ""quantity"": null, ""city"": ""Chennai"", ""status"": ""pending"", ""order_time"": ""2024-01-04 00:00:00""}"
71,"{""order_id"": ""O1070"", ""customer"": {""name"": ""Ravi"", ""email"": ""user70@mail.com""}, ""product"": ""Monitor"", ""price"": 988.58, ""quantity"": 1, ""city"": ""Mumbai"", ""status"": ""Completed"", ""order_time"": ""2024-03-01 00:00:00""}"
72,"{""order_id"": ""O1071"", ""customer"": {""name"": ""Ravi"", ""email"": ""user71@mail.com""}, ""product"": ""Monitor"", ""price"": 1216.57, ""quantity"": 2, ""city"": ""Pune"", ""status"": ""PENDING"", ""order_time"": ""2024-01-29 00:00:00""}"
