record_id,raw_payload
1,"{""order_id"": ""O2000"", ""customer"": {""name"": ""Ankit"", ""email"": ""customer0@mail.com""}, ""product"": ""Phone"", ""price"": 1904.5, ""quantity"": 3, ""city"": ""Kolkata"", ""status"": ""failed"", ""order_time"": ""2024/03/06 00:00:00""}"
2,"{""order_id"": ""O2001"", ""customer"": {""name"": ""Rohit"", ""email"": ""customer1@mail.com""}, ""product"": ""Camera"", ""price"": 1479.25, ""quantity"": 3, ""city"": ""Kolkata"", ""status"": ""unknown"", ""order_time"": ""2024/02/10 00:00:00""}"
3,"{""order_id"": ""O2002"", ""customer"": {""name"": ""Deepak"", ""email"": ""bad_email""}, ""product"": ""Camera"", ""price"": 1699.9, ""quantity"": 1, ""city"": ""Kolkata"", ""status"": ""pending"", ""order_time"": ""2024/02/18 00:00:00""}"
4,"{""order_id"": ""O2003"", ""customer"": {""name"": ""Deepak"", ""email"": ""customer3@mail.com""}, ""product"": ""Camera"", ""price"": 220.42, ""quantity"": null, ""city"": ""Mumbai"", ""status"": ""failed"", ""order_time"": ""2024/02/04 00:00:00""}"
5,"{""order_id"": ""O2004"", ""customer"": {""name"": ""Ankit"", ""email"": ""customer4@mail.com""}, ""product"": ""Headphones"", ""price"": 1496.64, ""quantity"": 2, ""city"": ""Jaipur"", ""status"": ""Fail"", ""order_time"": ""2024/02/08 00:00:00""}"
6,"{""order_id"": null, ""customer"": {""name"": ""Asha"", ""email"": ""bad_email""}, ""product"": ""Headphones"", ""price"": 1587.4, ""quantity"": 2, ""city"": ""Bangalore"", ""status"": ""failed"", ""order_time"": ""not_a_date""}"
7,"{""order_id"": ""O2006"", ""customer"": {""name"": ""Rohit"", ""email"": ""customer6@mail.com""}, ""product"": ""Laptop"", ""price"": 1608.28, ""quantity"": null, ""city"": ""Bangalore"", ""status"": ""failed"", ""order_time"": ""2024/02/09 00:00:00""}"
8,"{""order_id"": ""O2007"", ""customer"": {""name"": ""Suresh"", ""email"": ""bad_email""}, ""product"": ""Camera"", ""price"": 1951.78, ""quantity"": 2, ""city"": ""Jaipur"", ""status"": ""PENDING"", ""order_time"": ""not_a_date""}"
9,"{""order_id"": ""O2008"", ""customer"": {""name"": ""Ankit"", ""email"": ""customer8@mail.com""}, ""product"": ""Phone"", ""price"": 2203.47, ""quantity"": 3, ""city"": ""Kolkata"", ""status"": ""unknown"", ""order_time"": ""2024/02/17 00:00:00""}"
10,"{""order_id"": ""O2009"", ""customer"": {""name"": ""Ankit"", ""email"": ""customer9@mail.com""}, ""product"": ""Camera"", ""price"": 733.53, ""quantity"": null, ""city"": ""Delhi"", ""status"": ""pending"", ""order_time"": ""2024/02/26 00:00:00""}"
11,"{""order_id"": ""O2010"", ""customer"": {""name"": ""Asha"", ""email"": ""customer10@mail.com""}, ""product"": ""Charger"", ""price"": 1345.23, ""quantity"": 2, ""city"": ""Delhi"", ""status"": ""pending"", ""order_time"": ""2024/02/26 00:00:00""}"
12,"{""order_id"": ""O2011"", ""customer"": {""name"": ""Rohit"", ""email"": ""customer11@mail.com""}, ""product"": ""Charger"", ""price"": 282.26, ""quantity"": 3, ""city"": ""Mumbai"", ""status"": ""unknown"", ""order_time"": ""2024/02/16 00:00:00""}"
13,"{""order_id"": ""O2012"", ""customer"": {""name"": ""Meena"", ""email"": ""customer12@mail.com""}, ""product"": ""Headphones"", ""price"": 2410.24, ""quantity"": 3, ""city"": ""Delhi"", ""status"": ""failed"", ""order_time"": ""2024/02/21 00:00:00""}"
14,"{""order_id"": ""O2013"", ""customer"": {""name"": ""Nisha"", ""email"": ""customer13@mail.com""}, ""product"": ""Charger"", ""price"": 1035.14, ""quantity"": null, ""city"": ""Mumbai"", ""status"": ""pending"", ""order_time"": ""2024/03/10 00:00:00""}"
15,"{""order_id"": ""O2014"", ""customer"": {""name"": ""Varun"", ""email"": ""customer14@mail.com""}, ""product"": ""Charger"", ""price"": 2220.95, ""quantity"": 3, ""city"": ""Delhi"", ""status"": ""Fail"", ""order_time"": ""2024/02/19 00:00:00""}"
16,"{""order_id"": ""O2015"", ""customer"": {""name"": ""Ankit"", ""email"": ""customer15@mail.com""}, ""product"": ""Charger"", ""price"": 1649.77, ""quantity"": 2, ""city"": ""Kolkata"", ""status"": ""unknown"", ""order_time"": ""2024/02/26 00:00:00""}"
17,"{""order_id"": null, ""customer"": {""name"": ""Rohit"", ""email"": ""bad_email""}, ""product"": ""Charger"", ""price"": 2375.76, ""quantity"": 2, ""city"": ""Jaipur"", ""status"": ""unknown"", ""order_time"": ""2024/02/14 00:00:00""}"
18,"{""order_id"": ""O2017"", ""customer"": {""name"": ""Asha"", ""email"": ""customer17@mail.com""}, ""product"": ""Camera"", ""price"": 1572.42, ""quantity"": null, ""city"": ""Bangalore"", ""status"": ""Completed"", ""order_time"": ""2024/02/07 00:00:00""}"
